,日期,小时,单量
963,20230911,7,4
964,20230911,8,7
965,20230911,9,13
966,20230911,10,12
967,20230911,11,12
968,20230911,12,8
969,20230911,13,8
970,20230911,14,11
971,20230911,15,8
972,20230911,16,12
973,20230911,17,19
974,20230911,18,15
975,20230911,19,12
976,20230911,20,23
977,20230911,21,32
978,20230911,22,21
979,20230911,23,21
980,20230912,0,18
981,20230912,1,9
982,20230912,2,5
983,20230912,3,5
984,20230912,4,9
985,20230912,5,2
986,20230912,6,2
987,20230912,7,6
988,20230912,8,8
989,20230912,9,7
990,20230912,10,13
991,20230912,11,11
992,20230912,12,9
993,20230912,13,21
994,20230912,14,6
995,20230912,15,9
996,20230912,16,12
997,20230912,17,11
998,20230912,18,18
999,20230912,19,22
1000,20230912,20,18
1001,20230912,21,25
1002,20230912,22,37
1003,20230912,23,18
1004,20230913,0,15
1005,20230913,1,8
1006,20230913,2,9
1007,20230913,3,11
1008,20230913,4,2
1009,20230913,6,5
1010,20230913,7,4
1011,20230913,8,4
1012,20230913,9,10
